City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
244,Ekuvukeni,ZA,2022-10-03 05:44:49,-28.4675,30.1551,75.83,42,0,3.44
245,Santa Maria,BR,2022-10-03 05:40:27,-29.6842,-53.8069,52.88,96,4,3.69
246,Bahia Blanca,AR,2022-10-03 05:44:50,-38.7196,-62.2724,47.43,55,73,14.32
247,Souillac,MU,2022-10-03 05:44:50,-20.5167,57.5167,75.58,60,40,11.5
248,Alofi,NU,2022-10-03 05:44:51,-19.0595,-169.9187,76.89,65,20,11.5
249,Kropotkin,RU,2022-10-03 05:44:51,45.4375,40.5756,61.81,54,88,15.23
250,Waipawa,NZ,2022-10-03 05:44:52,-41.4122,175.5153,45.99,85,100,15.97
251,Olafsvik,IS,2022-10-03 05:44:53,64.8945,-23.7142,46.22,70,45,20.71
252,Touros,BR,2022-10-03 05:44:53,-5.1989,-35.4608,73.71,81,32,11.52
253,Elko,US,2022-10-03 05:44:47,41.0002,-115.5012,57.63,34,47,4.0
254,Hauterive,FR,2022-10-03 05:44:54,46.0901,3.4459,56.16,89,99,0.89
255,Tongchuan,CN,2022-10-03 05:44:55,35.0806,109.0897,62.8,67,100,10.33
256,Zeya,RU,2022-10-03 05:44:55,53.75,127.2667,35.28,56,78,10.78
257,Yeppoon,AU,2022-10-03 05:44:56,-23.1333,150.7333,74.98,66,59,16.15
258,Bubaque,GW,2022-10-03 05:44:57,11.2833,-15.8333,81.41,76,79,8.08
259,Katsuura,JP,2022-10-03 05:44:57,35.1333,140.3,80.62,60,80,5.66
260,Savinka,RU,2022-10-03 05:44:58,50.0785,47.0994,63.66,43,100,25.68
261,Lentini,IT,2022-10-03 05:44:59,37.2855,14.9996,67.93,100,0,3.11
262,Provideniya,RU,2022-10-03 05:44:59,64.3833,-173.3,37.51,81,20,11.18
263,Yavatmal,IN,2022-10-03 05:45:00,20.4,78.1333,85.46,55,16,12.33
264,Yelizovo,RU,2022-10-03 05:45:01,53.1873,158.3805,48.34,61,75,7.0
265,Sao Jose Da Coroa Grande,BR,2022-10-03 05:45:01,-8.8978,-35.1478,74.77,66,33,8.21
266,Martin,US,2022-10-03 05:41:30,27.0837,-80.4164,73.96,97,4,5.82
267,Sechura,PE,2022-10-03 05:45:02,-5.5569,-80.8222,62.89,85,17,10.76
268,Bambanglipuro,ID,2022-10-03 05:45:03,-7.95,110.2833,81.41,76,100,11.61
269,Kuusamo,FI,2022-10-03 05:45:03,65.9667,29.1833,44.64,93,75,5.75
270,Dingle,PH,2022-10-03 05:45:04,10.9995,122.6711,87.57,68,62,8.43
271,Gizo,SB,2022-10-03 05:45:05,-8.103,156.8419,83.68,70,81,4.76
272,Aseri,EE,2022-10-03 05:45:06,59.4506,26.8675,48.6,73,100,20.87
273,Zyryanka,RU,2022-10-03 05:45:06,65.75,150.85,28.96,71,100,4.18
274,Tukrah,LY,2022-10-03 05:45:07,32.5341,20.5791,74.77,68,1,14.09
275,Keflavik,IS,2022-10-03 05:45:07,64.0049,-22.5624,44.51,93,75,11.5
276,Kavieng,PG,2022-10-03 05:45:08,-2.5744,150.7967,84.81,68,18,9.4
277,Pali,IN,2022-10-03 05:46:09,25.7667,73.3333,88.56,40,0,7.05
278,Birobidzhan,RU,2022-10-03 05:46:10,48.8,132.95,42.91,89,100,8.95
279,Santa Ana,US,2022-10-03 05:44:36,33.7456,-117.8678,70.07,81,0,4.61
280,Namibe,AO,2022-10-03 05:46:11,-15.1961,12.1522,66.99,80,96,6.73
281,Subtanjalla,PE,2022-10-03 05:46:11,-14.0189,-75.7581,60.98,76,23,2.55
282,Matara,LK,2022-10-03 05:46:12,5.9485,80.5353,82.53,77,64,18.81
283,Pangnirtung,CA,2022-10-03 05:46:12,66.1451,-65.7125,28.74,64,12,0.87
284,Logan Lake,CA,2022-10-03 05:46:13,50.4998,-120.8025,53.22,56,5,3.62
285,Saeby,DK,2022-10-03 05:46:14,57.3319,10.5225,51.96,79,32,15.28
286,Constitucion,CL,2022-10-03 05:46:15,-35.3333,-72.4167,49.12,86,88,2.19
287,Okhotsk,RU,2022-10-03 05:46:15,59.3833,143.3,40.86,63,71,11.97
288,Acapulco,MX,2022-10-03 05:46:16,16.8634,-99.8901,80.42,74,100,4.61
289,Aswan,EG,2022-10-03 05:46:16,24.0934,32.907,85.3,20,0,4.61
290,Podolinec,SK,2022-10-03 05:46:17,49.2587,20.536,48.97,79,85,15.59
291,Mehamn,NO,2022-10-03 05:46:17,71.0357,27.8492,40.95,87,40,4.61
292,Torbay,CA,2022-10-03 05:45:04,47.6666,-52.7314,43.75,80,40,11.5
293,Kurumkan,RU,2022-10-03 05:46:18,54.3,110.3,36.81,47,82,2.62
