City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Ponta Do Sol,PT,32.6667,-17.1,71.71,69,80,2.95,broken clouds
303,Grand Gaube,MU,-20.0064,57.6608,70.38,71,2,5.01,clear sky
304,Sakakah,SA,29.9697,40.2064,76.57,17,0,7.14,clear sky
305,Santa Marta,CO,11.2408,-74.199,82.45,83,40,4.61,scattered clouds
306,Lafiagi,NG,8.8667,5.4167,74.46,94,98,3.29,moderate rain
307,Neya,RU,58.2972,43.8681,47.37,85,3,7.78,clear sky
308,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,72.27,64,3,5.35,clear sky
309,Surt,LY,31.2089,16.5887,76.57,67,100,13.44,overcast clouds
310,Sena Madureira,BR,-9.0656,-68.6569,77.67,67,28,1.5,scattered clouds
311,Akdepe,TM,42.0551,59.3788,41.09,37,8,10.96,clear sky
312,Tomohon,ID,1.3346,124.8392,77.94,56,74,1.79,broken clouds
313,Vila,PT,42.0304,-8.1588,54.48,53,2,2.53,clear sky
314,Sobolevo,RU,54.4299,31.8996,38.88,97,100,14.29,light rain
315,Taoudenni,ML,22.6783,-3.9836,91.56,19,11,13.09,few clouds
316,Saint-Pierre,RE,-21.3393,55.4781,67.68,68,0,5.75,clear sky
317,Emerald,AU,-23.5333,148.1667,75.34,53,10,15.3,clear sky
318,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,66,0,2.3,clear sky
319,Lorengau,PG,-2.0226,147.2712,86.11,67,16,10.83,few clouds
320,Carbonear,CA,47.7332,-53.2148,45.01,67,7,8.12,clear sky
321,Birobidzhan,RU,48.8,132.95,39.72,40,53,12.84,broken clouds
322,Moose Factory,CA,51.2585,-80.6094,62.6,67,100,9.22,overcast clouds
323,Nhulunbuy,AU,-12.2333,136.7667,88.41,62,40,12.66,scattered clouds
324,Lahad Datu,MY,5.0268,118.327,84.31,68,100,5.03,overcast clouds
325,Kirakira,SB,-10.4544,161.9205,83.37,73,81,8.75,broken clouds
326,Ilulissat,GL,69.2167,-51.1,32.02,69,100,10.36,overcast clouds
327,San Cristobal,VE,7.7669,-72.225,75.38,87,59,2.39,broken clouds
328,Kaitong,CN,44.8135,123.15,43.07,24,0,15.97,clear sky
329,Mozarlandia,BR,-14.7447,-50.5706,79.68,56,68,7.63,broken clouds
330,Darnah,LY,32.767,22.6367,74.12,72,77,15.61,broken clouds
331,Tupik,RU,54.4253,119.9327,33.57,33,60,6.04,broken clouds
332,Roald,NO,62.5833,6.1333,57.33,87,100,10.36,overcast clouds
333,Yatou,CN,37.15,122.3833,54.46,60,67,27.09,broken clouds
334,Kysyl-Syr,RU,63.8986,122.7617,29.3,70,98,8.59,overcast clouds
335,Ibra,OM,22.6906,58.5334,72.95,72,0,1.03,clear sky
336,Hobyo,SO,5.3505,48.5268,76.03,88,45,17.45,scattered clouds
337,Marawi,PH,7.9986,124.2928,81.75,57,98,3.02,overcast clouds
338,Russellville,US,35.2784,-93.1338,71.74,53,0,3.44,clear sky
339,Guerrero Negro,MX,27.9769,-114.0611,69.6,80,58,15.7,broken clouds
340,Victor Harbor,AU,-35.5667,138.6167,56.68,91,100,18.5,moderate rain
341,Nishihara,JP,26.1842,127.7558,83.48,74,20,5.75,few clouds
342,Ushtobe,KZ,45.2514,77.9838,48.61,32,100,5.12,overcast clouds
343,Itarema,BR,-2.9248,-39.9167,77.76,79,95,14.23,overcast clouds
344,Fare,PF,-16.7,-151.0167,78.48,74,0,16.02,light rain
